region,departure_h,route,km_per_unit,hours_per_unit,dp_solve_s,oracle_ok,oracle_J,oracle_h,stale_ok,stale_J,stale_h,pol_ok,pol_J,pol_h,stale_cost,policy_gap,replan_ok,replan_J,replan_gap,replan_vs_stale
Bay of Biscay,24,0,61.863,6.873666666666667,7.82,1,5.581,25.09,1,5.628,24.75,1,5.629,25.09,0.008398656215006017,0.008491026266403967,1,5.534,-0.00839865621500513,-0.016657412548584105
Bay of Biscay,24,1,61.863,6.873666666666667,14.61,1,4.353,22.0,1,4.353,22.0,1,4.337,22.0,-2.220446049250313e-16,-0.003623092287773799,1,4.309,-0.010050251256281229,-0.010050251256281006
Bay of Biscay,24,2,61.863,6.873666666666667,7.74,1,4.272,19.25,1,4.256,19.25,1,4.166,19.25,-0.003657644476956823,-0.024880107871965484,1,4.272,0.0,0.0036710719530101965
Mid Atlantic,0,0,99.272,11.030222222222223,6.08,1,4.184,35.3,1,4.097,35.3,1,4.148,35.3,-0.020911127707244348,-0.00861757816533315,1,4.109,-0.017923823749066314,0.0030511060259346134
Mid Atlantic,0,1,99.272,11.030222222222223,24.96,1,4.337,34.75,1,4.459,35.85,1,4.428,35.3,0.028097982708933156,0.020772791619686926,1,4.475,0.031700288184438374,0.0035038542396643724
Mid Atlantic,0,2,99.272,11.030222222222223,23.72,1,3.775,28.13,1,3.825,28.13,1,3.768,29.78,0.013245033112582183,-0.0017767546542275525,1,3.869,0.02483443708609223,0.011437908496731986
Mid Atlantic,12,0,99.272,11.030222222222223,14.03,1,4.084,34.19,1,4.016,33.64,1,4.01,34.75,-0.016832440703901996,-0.01818177227555129,1,4.019,-0.016067329762815996,0.0007782101167310707
Mid Atlantic,12,1,99.272,11.030222222222223,27.33,1,4.266,34.19,1,4.569,36.95,1,4.508,36.4,0.07106227106227059,0.056859534623207475,1,4.559,0.06886446886446884,-0.0020519835841308343
Mid Atlantic,12,2,99.272,11.030222222222223,24.12,1,3.837,27.58,1,3.597,27.02,1,3.522,28.68,-0.06270358306188872,-0.0823166861840513,1,3.597,-0.06270358306188861,2.220446049250313e-16
Mid Atlantic,24,0,99.272,11.030222222222223,14.06,1,4.05,34.19,1,4.078,34.19,1,3.993,34.19,0.00694444444444442,-0.014037463254271687,1,4.047,-0.0007716049382717749,-0.007662835249042321
Mid Atlantic,24,1,99.272,11.030222222222223,28.68,1,4.459,35.85,1,4.622,36.95,1,4.53,36.4,0.036440084092501435,0.01587334413890562,1,4.575,0.025928521373511648,-0.010141987829613619
Mid Atlantic,24,2,99.272,11.030222222222223,23.2,1,3.669,27.58,1,3.447,27.02,1,3.334,27.58,-0.060477001703577504,-0.09128947794889453,1,3.419,-0.06814310051107297,-0.008159564823209231
